ticker,screener_type,signal_strength,score,current_price,volume,setup_stage,timestamp
V,volume_breakout,STRONG,5.6,153.63,49508238,Entry,2025-09-02T09:09:57.053104
JPM,stockbee_9m_movers,STRONG,8.1,478.41,17598739,Hold,2025-09-02T09:09:57.053109
RIVN,gold_launch_pad,STRONG,9.5,364.77,2488064,Exit,2025-09-02T09:09:57.053113
TSLA,volume_breakout,WEAK,1.4,55.33,43462559,Exit,2025-09-02T09:09:57.053117
DIS,breakout_screener,MODERATE,4.7,109.95,37930690,Watch,2025-09-02T09:09:57.053120
HD,adl_divergence,STRONG,9.7,49.0,3169667,Entry,2025-09-02T09:09:57.053123
AMZN,volume_breakout,WEAK,2.9,415.93,29586656,Exit,2025-09-02T09:09:57.053126
JNJ,stockbee_daily_gainers,MODERATE,5.7,202.85,7893810,Watch,2025-09-02T09:09:57.053129
PFE,gold_launch_pad,MODERATE,4.2,241.72,45317133,Watch,2025-09-02T09:09:57.053132
PLTR,momentum_screener,MODERATE,5.8,336.59,11065811,Hold,2025-09-02T09:09:57.053135
TWLO,stockbee_weekly_movers,WEAK,4.7,231.03,2125554,Hold,2025-09-02T09:09:57.053138
GOOGL,stockbee_weekly_movers,WEAK,3.0,112.77,5197304,Hold,2025-09-02T09:09:57.053141
PG,guppy_alignment,MODERATE,5.0,273.69,17447786,Watch,2025-09-02T09:09:57.053144
CRWD,volume_breakout,STRONG,8.3,460.5,23999098,Hold,2025-09-02T09:09:57.053147
TSLA,volume_suite_hv_absolute,WEAK,2.3,301.9,35620726,Hold,2025-09-02T09:09:57.053150
MSFT,qullamaggie_suite,MODERATE,6.8,102.37,16567171,Watch,2025-09-02T09:09:57.053153
WMT,guppy_alignment,WEAK,3.5,106.92,23441281,Exit,2025-09-02T09:09:57.053156
MSFT,stockbee_9m_movers,MODERATE,4.9,125.13,21105994,Exit,2025-09-02T09:09:57.053159
JNJ,momentum_screener,STRONG,6.4,352.22,22064876,Exit,2025-09-02T09:09:57.053162
TSLA,stockbee_weekly_movers,STRONG,9.3,366.21,36392031,Watch,2025-09-02T09:09:57.053165
NVDA,volume_breakout,MODERATE,5.3,131.72,20949140,Exit,2025-09-02T09:09:57.053168
ZM,volume_suite_hv_absolute,WEAK,3.5,183.57,22686805,Hold,2025-09-02T09:09:57.053171
DIS,stockbee_weekly_movers,WEAK,1.6,252.19,27502475,Hold,2025-09-02T09:09:57.053174
ADBE,stockbee_daily_gainers,STRONG,7.4,54.88,18517510,Exit,2025-09-02T09:09:57.053177
NFLX,stockbee_weekly_movers,STRONG,5.5,213.6,12583036,Watch,2025-09-02T09:09:57.053180
SHOP,adl_divergence,STRONG,9.5,175.14,48686420,Hold,2025-09-02T09:09:57.053183
WMT,gold_launch_pad,STRONG,8.4,485.64,48045656,Exit,2025-09-02T09:09:57.053185
HD,atr1_screener,STRONG,5.5,345.62,4855646,Hold,2025-09-02T09:09:57.053188
KO,gold_launch_pad,MODERATE,6.0,229.62,30934391,Hold,2025-09-02T09:09:57.053191
HD,momentum_screener,MODERATE,6.0,305.82,30512837,Watch,2025-09-02T09:09:57.053194
HD,stockbee_9m_movers,STRONG,5.9,119.6,39570872,Hold,2025-09-02T09:09:57.053197
COIN,qullamaggie_suite,STRONG,7.0,342.9,5008659,Watch,2025-09-02T09:09:57.053200
TSLA,stockbee_daily_gainers,STRONG,7.7,484.43,24848017,Exit,2025-09-02T09:09:57.053204
V,volume_breakout,MODERATE,4.5,25.32,8325546,Entry,2025-09-02T09:09:57.053207
V,volume_breakout,WEAK,2.8,416.61,7457611,Exit,2025-09-02T09:09:57.053210
ROKU,volume_breakout,WEAK,2.7,33.08,38621604,Hold,2025-09-02T09:09:57.053213
JNJ,gold_launch_pad,MODERATE,5.3,285.59,12501202,Entry,2025-09-02T09:09:57.053216
HD,breakout_screener,WEAK,3.3,10.95,49712606,Entry,2025-09-02T09:09:57.053218
HD,breakout_screener,STRONG,8.8,314.98,30641509,Exit,2025-09-02T09:09:57.053221
RIVN,stockbee_daily_gainers,WEAK,3.6,54.89,2329713,Hold,2025-09-02T09:09:57.053224
AAPL,rti_compression,WEAK,2.1,82.27,8710779,Hold,2025-09-02T09:09:57.053227
DOCU,adl_divergence,MODERATE,6.6,312.55,30346525,Exit,2025-09-02T09:09:57.053235
RBLX,volume_breakout,WEAK,3.5,317.57,47632424,Watch,2025-09-02T09:09:57.053238
WMT,breakout_screener,MODERATE,4.8,25.43,49429184,Watch,2025-09-02T09:09:57.053244
