ticker,screen_type,score,price,volume,signal_date,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed,days_since_signal,analysis_date,screener
GOOGL,drwish_glb,89.1,235.0,46566300,2025-09-05,197.95,235.76,19.1,30,True,11,2025-09-16,DrWish GLB
GOOG,drwish_glb,88.68,235.17,26106200,2025-09-05,198.97,236.13,18.68,30,True,11,2025-09-16,DrWish GLB
GOOGL,drwish_glb,87.39,235.0,46566300,2025-09-04,197.95,232.37,17.39,29,True,12,2025-09-16,DrWish GLB
GOOG,drwish_glb,86.99,235.17,26106200,2025-09-04,198.97,232.77,16.99,29,True,12,2025-09-16,DrWish GLB
GOOGL,drwish_glb,86.85,235.0,46566300,2025-09-03,197.95,231.31,16.85,28,True,13,2025-09-16,DrWish GLB
GOOG,drwish_glb,86.5,235.17,26106200,2025-09-03,198.97,231.8,16.5,28,True,13,2025-09-16,DrWish GLB
AVGO,drwish_glb,82.29,334.89,78335000,2025-09-05,317.35,356.34,12.29,16,True,11,2025-09-16,DrWish GLB
AZN,drwish_glb,80.09,81.7,2464400,2025-09-05,74.86,82.41,10.09,58,True,11,2025-09-16,DrWish GLB
AZN,drwish_glb,79.91,81.7,2464400,2025-09-04,74.86,82.28,9.91,57,True,12,2025-09-16,DrWish GLB
AZN,drwish_glb,79.79,81.7,2464400,2025-09-03,74.86,82.19,9.79,56,True,13,2025-09-16,DrWish GLB
PDD,drwish_glb,79.75,124.68,8490800,2025-08-25,121.49,133.33,9.75,23,True,22,2025-09-16,DrWish GLB
PDD,drwish_glb,79.23,124.68,8490800,2025-08-26,121.49,132.7,9.23,24,True,21,2025-09-16,DrWish GLB
AZN,drwish_glb,78.95,81.7,2464400,2025-08-22,74.86,81.56,8.95,49,True,25,2025-09-16,DrWish GLB
AZN,drwish_glb,78.9,81.7,2464400,2025-08-25,74.86,81.52,8.9,50,True,22,2025-09-16,DrWish GLB
GOOGL,drwish_glb,78.44,235.0,46566300,2025-08-29,197.95,214.65,8.44,26,True,18,2025-09-16,DrWish GLB
AZN,drwish_glb,78.38,81.7,2464400,2025-08-20,74.86,81.13,8.38,47,True,27,2025-09-16,DrWish GLB
GOOG,drwish_glb,78.23,235.17,26106200,2025-08-29,198.97,215.34,8.23,26,True,18,2025-09-16,DrWish GLB
AZN,drwish_glb,78.18,81.7,2464400,2025-08-21,74.86,80.98,8.18,48,True,26,2025-09-16,DrWish GLB
APP,drwish_glb,77.87,490.24,8139600,2025-09-04,473.7,511.0,7.87,17,True,12,2025-09-16,DrWish GLB
AZN,drwish_glb,77.66,81.7,2464400,2025-09-02,74.86,80.59,7.66,55,True,14,2025-09-16,DrWish GLB
