ticker,screen_type,price,volume,score,signal_date,days_since_signal,analysis_date,screener,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed
GOOGL,drwish_glb,235.0,46566300,89.1,2025-09-05,11,2025-09-16,DrWish GLB,197.95,235.76,19.1,30,True
GOOG,drwish_glb,235.17,26106200,88.68,2025-09-05,11,2025-09-16,DrWish GLB,198.97,236.13,18.68,30,True
GOOGL,drwish_glb,235.0,46566300,87.39,2025-09-04,12,2025-09-16,DrWish GLB,197.95,232.37,17.39,29,True
GOOG,drwish_glb,235.17,26106200,86.99,2025-09-04,12,2025-09-16,DrWish GLB,198.97,232.77,16.99,29,True
GOOGL,drwish_glb,235.0,46566300,86.85,2025-09-03,13,2025-09-16,DrWish GLB,197.95,231.31,16.85,28,True
GOOG,drwish_glb,235.17,26106200,86.5,2025-09-03,13,2025-09-16,DrWish GLB,198.97,231.8,16.5,28,True
AVGO,drwish_glb,334.89,78335000,82.29,2025-09-05,11,2025-09-16,DrWish GLB,317.35,356.34,12.29,16,True
AZN,drwish_glb,81.7,2464400,80.09,2025-09-05,11,2025-09-16,DrWish GLB,74.86,82.41,10.09,58,True
AZN,drwish_glb,81.7,2464400,79.91,2025-09-04,12,2025-09-16,DrWish GLB,74.86,82.28,9.91,57,True
AZN,drwish_glb,81.7,2464400,79.79,2025-09-03,13,2025-09-16,DrWish GLB,74.86,82.19,9.79,56,True
PDD,drwish_glb,124.68,8490800,79.75,2025-08-25,22,2025-09-16,DrWish GLB,121.49,133.33,9.75,23,True
PDD,drwish_glb,124.68,8490800,79.23,2025-08-26,21,2025-09-16,DrWish GLB,121.49,132.7,9.23,24,True
AZN,drwish_glb,81.7,2464400,78.95,2025-08-22,25,2025-09-16,DrWish GLB,74.86,81.56,8.95,49,True
AZN,drwish_glb,81.7,2464400,78.9,2025-08-25,22,2025-09-16,DrWish GLB,74.86,81.52,8.9,50,True
GOOGL,drwish_glb,235.0,46566300,78.44,2025-08-29,18,2025-09-16,DrWish GLB,197.95,214.65,8.44,26,True
AZN,drwish_glb,81.7,2464400,78.38,2025-08-20,27,2025-09-16,DrWish GLB,74.86,81.13,8.38,47,True
GOOG,drwish_glb,235.17,26106200,78.23,2025-08-29,18,2025-09-16,DrWish GLB,198.97,215.34,8.23,26,True
AZN,drwish_glb,81.7,2464400,78.18,2025-08-21,26,2025-09-16,DrWish GLB,74.86,80.98,8.18,48,True
APP,drwish_glb,490.24,8139600,77.87,2025-09-04,12,2025-09-16,DrWish GLB,473.7,511.0,7.87,17,True
AZN,drwish_glb,81.7,2464400,77.66,2025-09-02,14,2025-09-16,DrWish GLB,74.86,80.59,7.66,55,True
