ticker,screen_type,price,volume,score,signal_date,days_since_signal,analysis_date,screener,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed
GOOGL,drwish_glb,235.05,46588925,81.99,2025-09-01,15,2025-09-16,DrWish GLB,210.52,235.76,11.99,3,True
GOOG,drwish_glb,235.17,26127737,81.86,2025-09-01,15,2025-09-16,DrWish GLB,211.09,236.13,11.86,3,True
AZN,drwish_glb,81.7,2464583,76.47,2025-08-18,29,2025-09-16,DrWish GLB,76.2,81.13,6.47,3,True
IWM,drwish_glb,237.77,190629711,73.55,2025-09-01,15,2025-09-16,DrWish GLB,231.46,239.68,3.55,3,True
XLC,drwish_glb,114.69,32618537,72.55,2025-09-01,15,2025-09-16,DrWish GLB,112.22,115.08,2.55,3,True
IWM,drwish_glb,237.77,190629711,72.4,2025-08-29,18,2025-09-16,DrWish GLB,231.46,237.02,2.4,2,True
XLY,drwish_glb,235.11,57585512,72.08,2025-08-18,29,2025-09-16,DrWish GLB,227.34,232.06,2.08,3,True
XLF,drwish_glb,53.07,224589343,72.05,2025-09-01,15,2025-09-16,DrWish GLB,53.16,54.25,2.05,3,True
GOOG,drwish_glb,235.17,26127737,72.01,2025-08-29,18,2025-09-16,DrWish GLB,211.09,215.34,2.01,2,True
GOOGL,drwish_glb,235.05,46588925,71.98,2025-08-25,22,2025-09-16,DrWish GLB,206.44,210.52,1.98,2,True
GOOGL,drwish_glb,235.05,46588925,71.96,2025-08-29,18,2025-09-16,DrWish GLB,210.52,214.65,1.96,2,True
XLB,drwish_glb,91.96,32911462,71.86,2025-08-29,18,2025-09-16,DrWish GLB,91.02,92.71,1.86,2,True
TSLA,drwish_glb,350.84,108989785,71.84,2025-08-27,20,2025-09-16,DrWish GLB,348.98,355.39,1.84,3,True
XLF,drwish_glb,53.07,224589343,71.84,2025-08-29,18,2025-09-16,DrWish GLB,53.16,54.14,1.84,2,True
GOOG,drwish_glb,235.17,26127737,71.81,2025-08-25,22,2025-09-16,DrWish GLB,207.33,211.09,1.81,2,True
ASML,drwish_glb,781.7,1863915,71.79,2025-08-27,20,2025-09-16,DrWish GLB,757.0,770.55,1.79,3,True
ASML,drwish_glb,781.7,1863915,71.63,2025-09-01,15,2025-09-16,DrWish GLB,770.55,783.1,1.63,2,True
MAGS,drwish_glb,61.21,14266294,71.23,2025-09-01,15,2025-09-16,DrWish GLB,60.96,61.71,1.23,3,True
QCOM,drwish_glb,159.84,7954191,71.15,2025-08-29,18,2025-09-16,DrWish GLB,159.75,161.6,1.15,3,True
AZN,drwish_glb,81.7,2464583,71.09,2025-09-01,15,2025-09-16,DrWish GLB,81.52,82.41,1.09,3,True
