ticker,screen_type,score,price,volume,signal_date,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed,days_since_signal,analysis_date,screener
GOOGL,drwish_glb,81.99,235.05,46588925,2025-09-01,210.52,235.76,11.99,3,True,15,2025-09-16,DrWish GLB
GOOG,drwish_glb,81.86,235.17,26127737,2025-09-01,211.09,236.13,11.86,3,True,15,2025-09-16,DrWish GLB
AZN,drwish_glb,76.47,81.7,2464583,2025-08-18,76.2,81.13,6.47,3,True,29,2025-09-16,DrWish GLB
IWM,drwish_glb,73.55,237.77,190629711,2025-09-01,231.46,239.68,3.55,3,True,15,2025-09-16,DrWish GLB
XLC,drwish_glb,72.55,114.69,32618537,2025-09-01,112.22,115.08,2.55,3,True,15,2025-09-16,DrWish GLB
IWM,drwish_glb,72.4,237.77,190629711,2025-08-29,231.46,237.02,2.4,2,True,18,2025-09-16,DrWish GLB
XLY,drwish_glb,72.08,235.11,57585512,2025-08-18,227.34,232.06,2.08,3,True,29,2025-09-16,DrWish GLB
XLF,drwish_glb,72.05,53.07,224589343,2025-09-01,53.16,54.25,2.05,3,True,15,2025-09-16,DrWish GLB
GOOG,drwish_glb,72.01,235.17,26127737,2025-08-29,211.09,215.34,2.01,2,True,18,2025-09-16,DrWish GLB
GOOGL,drwish_glb,71.98,235.05,46588925,2025-08-25,206.44,210.52,1.98,2,True,22,2025-09-16,DrWish GLB
GOOGL,drwish_glb,71.96,235.05,46588925,2025-08-29,210.52,214.65,1.96,2,True,18,2025-09-16,DrWish GLB
XLB,drwish_glb,71.86,91.96,32911462,2025-08-29,91.02,92.71,1.86,2,True,18,2025-09-16,DrWish GLB
TSLA,drwish_glb,71.84,350.84,108989785,2025-08-27,348.98,355.39,1.84,3,True,20,2025-09-16,DrWish GLB
XLF,drwish_glb,71.84,53.07,224589343,2025-08-29,53.16,54.14,1.84,2,True,18,2025-09-16,DrWish GLB
GOOG,drwish_glb,71.81,235.17,26127737,2025-08-25,207.33,211.09,1.81,2,True,22,2025-09-16,DrWish GLB
ASML,drwish_glb,71.79,781.7,1863915,2025-08-27,757.0,770.55,1.79,3,True,20,2025-09-16,DrWish GLB
ASML,drwish_glb,71.63,781.7,1863915,2025-09-01,770.55,783.1,1.63,2,True,15,2025-09-16,DrWish GLB
MAGS,drwish_glb,71.23,61.21,14266294,2025-09-01,60.96,61.71,1.23,3,True,15,2025-09-16,DrWish GLB
QCOM,drwish_glb,71.15,159.84,7954191,2025-08-29,159.75,161.6,1.15,3,True,18,2025-09-16,DrWish GLB
AZN,drwish_glb,71.09,81.7,2464583,2025-09-01,81.52,82.41,1.09,3,True,15,2025-09-16,DrWish GLB
