Symbol,Description,Market capitalization,Market capitalization - Currency,Sector,Industry,Exchange,Analyst Rating,Upcoming earnings date,Recent earnings date,Index
NVDA,NVIDIA Corporation,4435188104248,USD,Electronic technology,Semiconductors,NASDAQ,Strong buy,2025-08-27,2025-05-28,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index"
MSFT,Microsoft Corporation,3731746975137,USD,Technology services,Packaged software,NASDAQ,Strong buy,2025-10-28,2025-07-30,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NYSE Arca Major Market, NASDAQ CB Insights Metaverse US Index"
AAPL,Apple Inc.,3403049714052,USD,Electronic technology,Telecommunications equipment,NASDAQ,Buy,2025-10-23,2025-07-31,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index"
GOOGL,Alphabet Inc.,2509549439362,USD,Technology services,Internet software/Services,NASDAQ,Strong buy,2025-10-28,2025-07-23,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index"
GOOG,Alphabet Inc.,2509549439362,USD,Technology services,Internet software/Services,NASDAQ,Strong buy,2025-10-28,2025-07-23,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG"
AMZN,"Amazon.com, Inc.",2439172120138,USD,Retail trade,Internet retail,NASDAQ,Strong buy,2025-10-23,2025-07-31,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ CB Insights Metaverse US Index"
META,"Meta Platforms, Inc.",1894270786280,USD,Technology services,Internet software/Services,NASDAQ,Strong buy,2025-10-22,2025-07-30,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, S&P 500 ESG, NASDAQ CB Insights Metaverse US Index"
AVGO,Broadcom Inc.,1401681495683,USD,Electronic technology,Semiconductors,NASDAQ,Strong buy,2025-09-04,2025-06-05,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer, NASDAQ CB Insights Metaverse US Index"
TSLA,"Tesla, Inc.",1134293684211,USD,Consumer durables,Motor vehicles,NASDAQ,Neutral,2025-10-15,2025-07-23,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, NASDAQ Clean Edge Green Energy"
BRK.A,Berkshire Hathaway Inc.,1061245650144,USD,Finance,Property/Casualty insurance,NYSE,Buy,2025-11-03,2025-08-02,
