ticker,sector,industry,next_earnings,marketCap,shortName,longName
ADBE,Technology,Software - Infrastructure,2025-03-12,201439428608,Adobe Inc.,Adobe Inc.
AMD,Technology,Semiconductors,2025-04-28,181040021504,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc."
ABNB,Consumer Cyclical,Travel Services,2025-02-13,87792959488,"Airbnb, Inc.","Airbnb, Inc."
GOOGL,Communication Services,Internet Content & Information,2025-04-23,2248212742144,Alphabet Inc.,Alphabet Inc.
GOOG,Communication Services,Internet Content & Information,2025-04-23,2248208809984,Alphabet Inc.,Alphabet Inc.
AMZN,Consumer Cyclical,Internet Retail,2025-04-28,2426131185664,"Amazon.com, Inc.","Amazon.com, Inc."
AEP,Utilities,Utilities - Regulated Electric,2025-02-13,54508027904,American Electric Power Company,"American Electric Power Company, Inc."
AMGN,Healthcare,Drug Manufacturers - General,2025-04-30,158604476416,Amgen Inc.,Amgen Inc.
ADI,Technology,Semiconductors,2025-02-19,101774426112,"Analog Devices, Inc.","Analog Devices, Inc."
ANSS,Technology,Software - Application,2025-02-19,29218793472,"ANSYS, Inc.","ANSYS, Inc."
AAPL,Technology,Consumer Electronics,2025-04-30,3558284984320,Apple Inc.,Apple Inc.
AMAT,Technology,Semiconductor Equipment & Materials,2025-02-13,147009486848,"Applied Materials, Inc.","Applied Materials, Inc."
APP,Technology,Software - Application,2025-05-06,127632351232,Applovin Corporation,AppLovin Corporation
ARM,Technology,Semiconductors,2025-02-05,163802136576,Arm Holdings plc,Arm Holdings plc
ASML,Technology,Semiconductor Equipment & Materials,2025-04-16,297326051328,ASML Holding N.V. - New York Re,ASML Holding N.V.
AZN,Healthcare,Drug Manufacturers - General,2025-04-29,230819332096,Astrazeneca PLC,AstraZeneca PLC
TEAM,Technology,Software - Application,2025-01-30,83433906176,Atlassian Corporation,Atlassian Corporation
ADSK,Technology,Software - Application,2025-02-27,64066510848,"Autodesk, Inc.","Autodesk, Inc."
ADP,Technology,Software - Application,2025-04-29,124766994432,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc."
AXON,Industrials,Aerospace & Defense,2025-02-25,50715545600,"Axon Enterprise, Inc.","Axon Enterprise, Inc."
BKR,Energy,Oil & Gas Equipment & Services,2025-04-21,45951098880,Baker Hughes Company,Baker Hughes Company
BIIB,Healthcare,Drug Manufacturers - General,2025-04-22,19443286016,Biogen Inc.,Biogen Inc.
BKNG,Consumer Cyclical,Travel Services,2025-02-20,166082871296,Booking Holdings Inc. Common St,Booking Holdings Inc.
AVGO,Technology,Semiconductors,2025-03-06,1107857506304,Broadcom Inc.,Broadcom Inc.
CDNS,Technology,Software - Application,2025-02-19,80645668864,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc."
CDW,Technology,Information Technology Services,2025-04-29,25178900480,CDW Corporation,CDW Corporation
CHTR,Communication Services,Telecom Services,2025-04-24,50329083904,"Charter Communications, Inc.","Charter Communications, Inc."
CTAS,Industrials,Specialty Business Services,2025-03-25,82569134080,Cintas Corporation,Cintas Corporation
CSCO,Technology,Communication Equipment,2025-02-12,249041977344,"Cisco Systems, Inc.","Cisco Systems, Inc."
CCEP,Consumer Defensive,Beverages - Non-Alcoholic,2025-02-14,37516881920,Coca-Cola Europacific Partners ,Coca-Cola Europacific Partners PLC
CTSH,Technology,Information Technology Services,2025-04-29,43599601664,Cognizant Technology Solutions ,Cognizant Technology Solutions Corporation
CMCSA,Communication Services,Telecom Services,2025-04-23,131957604352,Comcast Corporation,Comcast Corporation
CPRT,Industrials,Specialty Business Services,2025-02-20,56867422208,"Copart, Inc.","Copart, Inc."
CSGP,Real Estate,Real Estate Services,2025-02-18,30037768192,"CoStar Group, Inc.","CoStar Group, Inc."
COST,Consumer Defensive,Discount Stores,2025-03-06,472805703680,Costco Wholesale Corporation,Costco Wholesale Corporation
CRWD,Technology,Software - Infrastructure,2025-03-04,107054153728,"CrowdStrike Holdings, Inc.","CrowdStrike Holdings, Inc."
CSX,Industrials,Railroads,2025-04-15,63483580416,CSX Corporation,CSX Corporation
DDOG,Technology,Software - Application,2025-02-13,50309578752,"Datadog, Inc.","Datadog, Inc."
DXCM,Healthcare,Medical Devices,2025-02-13,32759203840,"DexCom, Inc.","DexCom, Inc."
FANG,Energy,Oil & Gas E&P,2025-02-24,45392609280,"Diamondback Energy, Inc.","Diamondback Energy, Inc."
DASH,Communication Services,Internet Content & Information,2025-04-29,83448905728,"DoorDash, Inc.","DoorDash, Inc."
EA,Communication Services,Electronic Gaming & Multimedia,2025-05-06,34185263104,Electronic Arts Inc.,Electronic Arts Inc.
EXC,Utilities,Utilities - Regulated Electric,2025-04-30,43113885696,Exelon Corporation,Exelon Corporation
FAST,Industrials,Industrial Distribution,2025-04-11,42249588736,Fastenal Company,Fastenal Company
FTNT,Technology,Software - Infrastructure,2025-04-30,82546982912,"Fortinet, Inc.","Fortinet, Inc."
GEHC,Healthcare,Health Information Services,2025-02-13,39245389824,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.
GILD,Healthcare,Drug Manufacturers - General,2025-04-23,128752148480,"Gilead Sciences, Inc.","Gilead Sciences, Inc."
