ticker,date,timeframe,monthly_monthly_monthly_1m_rs_vs_QQQ_per_ticker_choice,monthly_monthly_monthly_3m_rs_vs_QQQ_per_ticker_choice,monthly_monthly_monthly_6m_rs_vs_QQQ_per_ticker_choice,monthly_monthly_monthly_1m_rs_vs_QQQ_per_NASDAQ100,monthly_monthly_monthly_3m_rs_vs_QQQ_per_NASDAQ100,monthly_monthly_monthly_6m_rs_vs_QQQ_per_NASDAQ100,monthly_monthly_monthly_1m_rs_vs_QQQ_per_SP500,monthly_monthly_monthly_3m_rs_vs_QQQ_per_SP500,monthly_monthly_monthly_6m_rs_vs_QQQ_per_SP500
Beverages: non-alcoholic,2025-09-01,monthly,50,21,30,50,21,30,50,21,30
Cable/Satellite TV,2025-09-01,monthly,30,50,11,30,50,11,30,50,11
Electric utilities,2025-09-01,monthly,11,11,40,11,11,40,11,11,40
Information technology services,2025-09-01,monthly,60,89,21,60,89,21,60,89,21
Internet software/Services,2025-09-01,monthly,99,99,99,99,99,99,99,99,99
Medical specialties,2025-09-01,monthly,40,40,70,40,40,70,40,40,70
Packaged software,2025-09-01,monthly,21,30,60,21,30,60,21,30,60
Pharmaceuticals: major,2025-09-01,monthly,70,79,50,70,79,50,70,79,50
Semiconductors,2025-09-01,monthly,79,70,79,79,70,79,79,70,79
Specialty stores,2025-09-01,monthly,89,60,89,89,60,89,89,60,89
