ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AAPL,weekly,2025-07-21,Long,239.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,213.6375,12.1947,42,190.0252,201.8314,195.9283,True,212890100,35.0000,1.7780,0.8392,12.1947
ABBV,weekly,2025-07-29,Long,212.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,197.1900,7.7945,34,169.1745,183.1822,176.1784,True,16306000,32.7945,8.0400,4.2506,7.7945
ACN,weekly,2025-03-10,Short,254.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,315.6681,-19.2348,175,379.3823,347.5252,363.4537,False,14873900,35.0000,19.8716,-5.9223,-19.2348
AFRM,weekly,2025-06-16,Long,87.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,62.0600,40.7509,77,41.5582,51.8091,46.6836,True,46479800,35.0000,2.3400,3.9183,40.7509
AMD,weekly,2025-06-16,Long,151.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,128.2400,17.8571,77,92.7854,110.5127,101.6490,True,179476700,35.0000,9.6000,8.0917,17.8571
AMGN,weekly,2025-07-21,Long,283.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,306.5800,-7.4825,42,261.5528,284.0664,272.8096,True,9473700,20.0000,11.8300,4.0136,-7.4825
AMZN,weekly,2025-06-02,Long,232.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,213.5700,8.7840,91,173.8056,193.6878,183.7467,True,164153200,33.7840,8.5900,4.1907,8.7840
ANET,weekly,2025-06-02,Long,142.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,97.2500,46.8895,91,64.5746,80.9123,72.7435,True,32185400,35.0000,10.9400,12.6752,46.8895
ASML,weekly,2025-06-02,Long,781.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,753.0200,3.8087,91,619.4240,686.2220,652.8230,True,6616300,28.8087,19.7300,2.6906,3.8087
AVGO,weekly,2025-05-12,Long,334.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,228.0732,46.8345,112,153.3646,190.7189,172.0417,True,147778200,35.0000,9.0986,4.1551,46.8345
AZN,weekly,2025-08-11,Long,81.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,79.1700,3.1957,21,66.3608,72.7654,69.5631,True,12777800,28.1957,5.3100,7.1893,3.1957
BAC,weekly,2025-05-10,Long,49.4947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,44.4282,11.4038,114,35.3107,39.8694,37.5900,True,165920800,35.0000,1.3620,3.1625,11.4038
BRK-B,weekly,2025-06-16,Short,499.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,484.8500,3.0772,77,532.0070,508.4285,520.2178,False,15379500,25.0000,4.8800,-0.9965,3.0772
BSX,weekly,2025-05-24,Long,107.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,105.2600,1.8621,100,91.5822,99.2011,95.3916,True,26704500,26.8621,0.1000,-0.0949,1.8621
C,weekly,2025-05-10,Long,95.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,75.2253,26.8191,114,58.4534,66.8393,62.6464,True,59206900,35.0000,1.1127,1.5013,26.8191
COST,weekly,2025-07-21,Short,963.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,934.1857,3.1358,42,1026.7911,980.4884,1003.6398,False,6863100,25.0000,16.0079,-1.6847,3.1358
CSCO,weekly,2025-05-26,Long,66.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,62.6632,6.7613,98,53.8659,58.8411,56.3535,True,68685600,31.7613,0.7157,-1.1292,6.7613
CVX,weekly,2025-07-05,Long,153.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,153.6001,0.0390,58,130.1735,141.8868,136.0302,True,36754200,25.0390,7.8229,5.3664,0.0390
FE,weekly,2025-02-15,Long,43.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,41.4253,4.9600,198,36.5657,38.9955,37.7806,True,10731700,29.9600,2.2334,5.6986,4.9600
GE,weekly,2025-05-10,Long,279.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,231.4420,20.6479,114,179.3842,205.4131,192.3986,True,17743500,35.0000,12.4219,5.6716,20.6479
GEV,weekly,2025-05-12,Long,582.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,427.8737,36.0401,112,287.8936,357.8837,322.8886,True,15593600,35.0000,13.0543,3.1470,36.0401
GOOG,weekly,2025-07-07,Long,235.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,181.3100,29.7060,56,149.6345,165.4722,157.5534,True,159452600,35.0000,1.1750,0.6523,29.7060
GOOGL,weekly,2025-06-30,Long,235.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,179.5300,30.8973,63,145.0368,162.2834,153.6601,True,249109600,35.0000,1.2500,-0.6914,30.8973
HD,weekly,2025-08-09,Long,416.5866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,399.3800,4.3083,23,342.8806,371.1303,357.0055,True,16081500,29.3083,9.4000,2.4104,4.3083
HPQ,weekly,2025-08-16,Long,29.3400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,27.7400,5.7678,16,24.4459,25.2893,24.8676,True,41768600,30.7678,1.0300,3.8562,5.7678
ISRG,weekly,2025-08-04,Short,466.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,470.0800,-0.6850,28,560.6134,515.3467,537.9801,False,13844800,25.6850,16.6700,-3.4248,-0.6850
IWM,weekly,2025-06-02,Long,237.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,211.3157,12.5189,91,183.2481,197.2819,190.2650,True,144216400,35.0000,6.5618,3.2047,12.5189
JNJ,weekly,2025-07-19,Long,178.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,167.0737,6.7972,44,146.5681,156.8209,151.6945,True,33748800,31.7972,4.4970,2.7661,6.7972
JPM,weekly,2025-05-12,Long,294.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,266.2772,10.5540,112,216.9418,241.6095,229.2757,True,29977000,35.0000,4.6377,1.7725,10.5540
KO,weekly,2025-02-08,Long,67.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,67.8829,0.1136,205,59.1524,63.5176,61.3350,True,99059600,25.1136,4.7016,7.4415,0.1136
LLY,weekly,2025-03-29,Short,727.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,735.0854,-1.0714,156,936.2069,835.6461,885.9265,False,11822400,26.0714,70.4704,-8.7480,-1.0714
LULU,weekly,2025-03-10,Short,167.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,311.0300,-46.0502,175,403.3410,357.1855,380.2633,False,60730200,35.0000,26.5400,-7.8621,-46.0502
MA,weekly,2025-05-12,Long,584.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,582.4919,0.2967,112,500.7135,541.6027,521.1581,True,8329700,25.2967,3.2756,0.5655,0.2967
MAGS,weekly,2025-05-26,Long,61.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,52.3500,16.9245,98,42.2044,47.3672,44.7858,True,10674000,35.0000,0.3400,0.6537,16.9245
META,weekly,2025-05-26,Long,752.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,646.9922,16.2997,98,508.2313,577.6117,542.9215,True,38146900,35.0000,12.0707,1.9011,16.2997
MSFT,weekly,2025-04-28,Long,495.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,434.4824,13.9287,126,327.4286,380.9555,354.1920,True,81954300,35.0000,43.2406,11.0522,13.9287
