ticker,sector,industry,current_price,market_cap,analyst_rating,132d_change,252d_change,year_change,price_vs_sma200,sma200_slope,sp500_member,long_term_score
NVDA,Electronic technology,Semiconductors,174.18,4435188104248.0,Strong buy,29.59,38.71,38.71,25.54,0.18,True,1.0
MSFT,Technology services,Packaged software,506.69,3731746975137.0,Strong buy,24.35,24.12,24.12,14.74,0.45,True,1.0
AMZN,Retail trade,Internet retail,229.0,2439172120138.0,Strong buy,5.73,34.07,34.07,7.6,0.13,True,1.0
WMT,Retail trade,Specialty stores,96.98,766519170253.0,Strong buy,3.09,28.71,28.71,2.9,0.07,True,1.0
JPM,Finance,Major banks,301.42,820993971036.0,Buy,15.33,39.27,39.27,16.38,0.35,True,0.95
V,Finance,Finance/Rental/Leasing,351.78,676583677317.0,Buy,1.28,31.6,31.6,4.03,0.26,True,0.95
CVX,Energy minerals,Integrated oil,160.6,322177908642.0,Buy,4.74,14.99,14.99,8.94,0.05,True,0.95
JNJ,Health technology,Pharmaceuticals: major,177.17,425047739899.0,Buy,10.91,11.58,11.58,14.64,0.12,True,0.95
CSCO,Electronic technology,Telecommunications equipment,69.09,270824280706.0,Buy,9.36,42.4,42.4,11.5,0.06,True,0.95
GOOG,Technology services,Internet software/Services,213.53,2509549439362.0,Strong buy,17.87,30.43,30.43,18.84,0.17,True,0.95
META,Technology services,Internet software/Services,738.7,1894270786280.0,Strong buy,8.25,43.43,43.43,14.18,0.87,True,0.95
GOOGL,Technology services,Internet software/Services,212.91,2509549439362.0,Strong buy,18.79,31.37,31.37,19.48,0.18,True,0.95
AVGO,Electronic technology,Semiconductors,297.39,1401681495683.0,Strong buy,36.74,90.15,90.15,31.45,0.62,True,0.95
BSX,Health technology,Medical specialties,105.5,157643550427.0,Strong buy,0.97,32.67,32.67,5.75,0.1,True,0.95
SPGI,Commercial services,Financial publishing/Services,548.44,168623291494.0,Strong buy,3.38,9.32,9.32,7.21,0.3,True,0.95
ANET,Electronic technology,Computer peripherals,136.55,168759316780.0,Strong buy,38.91,60.1,60.1,34.2,0.16,True,0.95
GE,Electronic technology,Aerospace & defense,275.2,290496752938.0,Buy,38.17,61.15,61.15,28.45,0.48,True,0.9
AMD,Electronic technology,Semiconductors,162.63,270398217701.0,Buy,46.73,11.12,11.12,29.75,0.1,True,0.9
