ticker,sector,current_price,market_cap,1d_change,3d_change,5d_change,7d_change,rsi_14,macd_histogram,ema10_slope,volume_trend,short_term_score
VRSN,Technology services,273.37,25219384902.0,0.89,0.37,2.62,0.42,59.95,1.0,0.21,0.44,1.0
GOOGL,Technology services,212.91,2509549439362.0,1.14,2.62,2.12,6.59,72.45,0.37,1.1,0.14,0.8
V,Finance,351.78,676583677317.0,0.38,0.41,0.85,2.35,79.3,1.45,0.85,0.11,0.8
GOOG,Technology services,213.53,2509549439362.0,1.07,2.56,2.09,6.44,72.87,0.35,1.08,0.37,0.8
HPQ,Technology services,28.54,25369760925.0,1.57,5.27,3.78,7.37,73.86,0.16,0.15,0.95,0.8
BAC,Finance,50.74,372199100098.0,0.46,0.71,2.55,5.14,83.58,0.34,0.31,0.01,0.8
MA,Finance,595.29,534822428416.0,0.56,0.78,0.35,0.57,74.49,0.54,0.87,0.06,0.7
QCOM,Electronic technology,160.73,171744428024.0,0.75,0.6,2.76,4.28,74.44,0.79,0.55,0.18,0.7
XLRE,,42.31,,0.33,0.28,0.43,1.51,66.93,0.1,0.07,-0.19,0.7
XLE,Energy,90.39,,0.5,1.31,2.29,4.64,90.39,0.55,0.43,-0.09,0.6
XLB,,92.28,,0.12,0.14,0.67,2.09,75.53,0.27,0.24,-0.21,0.6
XLF,Financial,53.99,,0.17,0.39,1.37,2.45,75.59,0.14,0.13,-0.05,0.6
ACN,Technology services,259.97,159089025566.0,1.19,1.11,1.53,2.35,79.57,2.74,0.57,-0.2,0.6
CVX,Energy minerals,160.6,322177908642.0,0.56,0.85,1.52,3.25,75.15,0.49,0.63,-0.08,0.6
XOM,Energy minerals,114.29,475309406762.0,0.5,1.37,2.28,4.63,95.49,0.85,0.62,-0.03,0.6
UNH,Health services,309.87,272091526540.0,2.5,1.97,1.64,2.15,81.05,3.51,1.69,-0.45,0.6
NTRS,Finance,131.28,25217933233.0,0.31,-0.22,0.51,3.12,68.08,0.26,0.46,0.16,0.6
JNJ,Health technology,177.17,425047739899.0,0.68,0.21,0.03,-0.26,67.59,-0.39,0.18,-0.25,0.5
TMUS,Communications,251.99,282705235628.0,1.19,0.25,0.1,-2.39,56.43,-0.74,-0.21,0.15,0.5
ABBV,Health technology,210.4,368080073368.0,1.15,1.12,1.37,0.43,79.79,0.01,0.39,-0.3,0.5
XLC,,111.39,,0.1,0.18,-0.09,1.51,69.74,0.01,0.16,-0.19,0.5
XLV,,137.43,,0.65,0.34,0.9,0.28,75.72,0.29,0.16,-0.25,0.5
ANET,Electronic technology,136.55,168759316780.0,0.77,2.46,2.64,3.42,47.71,-1.06,0.2,-0.06,0.5
PM,Consumer non-durables,167.13,259452302369.0,0.43,1.79,-0.14,-4.22,44.2,0.05,-0.45,0.29,0.5
KO,Consumer non-durables,68.99,295791080380.0,0.47,0.23,0.09,-2.36,37.61,-0.15,-0.17,0.1,0.5
PG,Consumer non-durables,157.04,365339698509.0,0.61,0.05,0.57,-1.06,56.82,0.18,-0.05,-0.26,0.5
JPM,Finance,301.42,820993971036.0,-0.21,0.72,2.21,3.41,69.9,0.74,0.92,-0.06,0.4
APP,Technology services,478.59,158750832316.0,-0.44,3.38,6.19,14.29,54.17,2.81,5.64,-0.09,0.3
GE,Electronic technology,275.2,290496752938.0,-0.29,0.68,3.22,2.42,50.0,-0.06,0.64,0.09,0.3
AAPL,Electronic technology,232.14,3403049714052.0,-0.16,0.72,2.19,3.22,60.39,-0.1,0.54,0.01,0.3
CSCO,Electronic technology,69.09,270824280706.0,-0.03,0.95,2.9,3.09,42.39,0.05,0.11,0.0,0.3
LLY,Health technology,732.58,696620571821.0,0.04,-0.22,5.36,3.21,83.83,8.34,3.58,-0.06,0.2
FE,Utilities,43.62,25169037426.0,0.46,-0.34,-0.05,0.32,54.08,-0.1,0.03,0.22,0.2
AZN,Health technology,79.9,248036802996.161,0.39,-0.04,0.3,-0.7,82.07,-0.03,0.15,0.18,0.2
ISRG,Health technology,473.3,170011069085.0,-0.2,0.46,1.04,0.73,51.21,1.23,-0.66,-0.0,0.1
WMT,Retail trade,96.98,766519170253.0,0.92,0.94,0.95,-1.0,25.53,-0.67,-0.46,-0.33,0.1
XLP,,80.78,,0.42,0.01,-0.35,-2.05,37.4,-0.24,-0.21,-0.05,0.1
C,Finance,96.57,176210742262.0,-0.08,-0.31,1.65,4.3,64.83,0.02,0.32,-0.3,0.0
BSX,Health technology,105.5,157643550427.0,-0.13,-0.35,0.37,0.28,62.47,0.18,0.14,-0.32,0.0
XLI,,152.01,,-0.77,-0.74,0.26,0.88,56.41,0.02,0.15,-0.17,0.0
AMZN,Retail trade,229.0,2439172120138.0,-1.0,-0.05,0.47,3.18,61.4,0.25,0.43,-0.19,0.0
AVGO,Electronic technology,297.39,1401681495683.0,-3.13,-0.95,1.07,2.69,45.12,-1.23,0.3,0.06,0.0
TSLA,Consumer durables,333.87,1134293684211.0,-3.85,-4.5,-3.67,4.3,46.82,0.76,1.82,0.05,-0.0
QQQ,,570.4,,-0.74,-0.54,0.01,1.26,47.47,-0.92,0.27,-0.19,-0.2
SPY,,645.05,,-0.37,-0.24,0.4,1.49,61.04,-0.16,0.76,-0.16,-0.2
GEV,Producer manufacturing,612.97,170387677716.0,-2.99,-1.51,1.77,1.15,36.01,-4.44,0.16,-0.19,-0.2
XLK,Health,262.45,,-1.1,-0.76,0.24,1.37,46.98,-0.49,0.12,-0.23,-0.2
VGT,,697.02,,-1.12,-0.56,0.66,2.19,51.08,-0.74,0.87,-0.13,-0.2
NFLX,Technology services,1208.25,520997910120.0,-1.61,-1.25,-0.81,0.17,46.93,1.6,1.07,-0.13,-0.2
NVDA,Electronic technology,174.18,4435188104248.0,-2.21,-4.09,-3.13,-0.46,35.75,-1.1,0.09,0.29,-0.2
SPGI,Commercial services,548.44,168623291494.0,0.27,-0.26,-0.42,-0.55,43.26,-2.2,-0.63,-0.04,-0.2
PDD,Retail trade,120.22,172082571990.0,-2.12,-1.64,-6.23,-2.23,61.85,-0.03,0.4,0.45,-0.2
LULU,Consumer non-durables,202.2,25308438499.0,-1.18,-1.64,-0.12,2.03,64.24,2.43,0.47,-0.18,-0.2
AMGN,Health technology,287.71,155898825241.0,0.67,-0.09,-0.26,-1.93,53.73,-0.6,-0.72,-0.08,-0.2
XLY,,231.74,,-1.03,-0.86,-0.38,2.44,66.61,0.26,0.62,-0.2,-0.2
ASML,Electronic technology,742.62,293673549180.826,-1.38,-3.56,-1.57,0.98,57.62,2.96,2.05,-0.16,-0.2
HD,Retail trade,406.77,405472956866.0,-0.24,-0.36,-0.52,2.28,62.55,-0.06,1.01,-0.37,-0.4
MSFT,Technology services,506.69,3731746975137.0,-0.39,-0.01,0.48,0.49,36.29,-2.06,-0.86,-0.06,-0.4
COST,Retail trade,943.32,417462727620.0,-0.18,-0.65,0.18,-2.72,29.7,-3.6,-3.67,0.08,-0.4
AMD,Electronic technology,162.63,270398217701.0,-2.51,-2.69,-0.45,-0.66,40.8,-2.07,-0.59,-0.18,-0.6
META,Technology services,738.7,1894270786280.0,-0.88,-1.16,-1.94,-0.05,39.23,-4.79,-1.35,-0.35,-0.6
XLU,,84.32,,-0.31,-1.13,-0.88,-1.47,36.5,-0.31,-0.13,-0.02,-0.6
PLTR,Technology services,156.71,381639044047.0,-0.17,-0.01,-0.29,0.34,24.14,-2.77,-1.05,-0.44,-0.8
ORCL,Technology services,226.13,657856797618.0,-4.83,-4.1,-3.94,-3.02,27.19,-2.43,-0.93,-0.05,-0.8
