ticker,screen_type,score,price,volume,signal_date,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed,days_since_signal,analysis_date,screener
IWM,drwish_glb,73.55,237.77,190629711,2025-09-01,231.46,239.68,3.55,3,True,15,2025-09-16,DrWish GLB
XLC,drwish_glb,72.55,114.69,32618537,2025-09-01,112.22,115.08,2.55,3,True,15,2025-09-16,DrWish GLB
IWM,drwish_glb,72.4,237.77,190629711,2025-08-29,231.46,237.02,2.4,2,True,18,2025-09-16,DrWish GLB
XLY,drwish_glb,72.08,235.11,57585512,2025-08-18,227.34,232.06,2.08,3,True,29,2025-09-16,DrWish GLB
XLF,drwish_glb,72.05,53.07,224589343,2025-09-01,53.16,54.25,2.05,3,True,15,2025-09-16,DrWish GLB
XLB,drwish_glb,71.86,91.96,32911462,2025-08-29,91.02,92.71,1.86,2,True,18,2025-09-16,DrWish GLB
XLF,drwish_glb,71.84,53.07,224589343,2025-08-29,53.16,54.14,1.84,2,True,18,2025-09-16,DrWish GLB
MAGS,drwish_glb,71.23,61.21,14266294,2025-09-01,60.96,61.71,1.23,3,True,15,2025-09-16,DrWish GLB
SPY,drwish_glb,70.93,647.24,387441927,2025-09-01,646.19,652.21,0.93,3,True,15,2025-09-16,DrWish GLB
XLI,drwish_glb,70.49,150.93,65542174,2025-08-29,152.57,153.31,0.49,2,True,18,2025-09-16,DrWish GLB
SPY,drwish_glb,70.25,647.24,387441927,2025-08-29,646.19,647.83,0.25,2,True,18,2025-09-16,DrWish GLB
XLV,drwish_glb,70.12,137.9,67014995,2025-09-01,138.21,138.38,0.12,2,True,15,2025-09-16,DrWish GLB
