ticker,date,timeframe,daily_daily_daily_1d_rs_vs_QQQ_per_NASDAQ100,daily_daily_daily_3d_rs_vs_QQQ_per_NASDAQ100,daily_daily_daily_5d_rs_vs_QQQ_per_NASDAQ100,daily_daily_monthly_22d_rs_vs_QQQ_per_NASDAQ100,daily_daily_monthly_44d_rs_vs_QQQ_per_NASDAQ100,daily_daily_quarterly_132d_rs_vs_QQQ_per_NASDAQ100,daily_daily_quarterly_66d_rs_vs_QQQ_per_NASDAQ100,daily_daily_weekly_14d_rs_vs_QQQ_per_NASDAQ100,daily_daily_weekly_7d_rs_vs_QQQ_per_NASDAQ100,daily_daily_yearly_252d_rs_vs_QQQ_per_NASDAQ100
AAPL,2025-09-05,daily,48,78,86,86,69,31,69,69,86,31
AMD,2025-09-05,daily,10,10,10,10,61,86,86,10,10,39
AMGN,2025-09-05,daily,82,35,35,27,14,14,18,27,27,10
AMZN,2025-09-05,daily,35,73,48,56,44,48,56,52,65,56
APP,2025-09-05,daily,22,48,61,99,99,90,78,90,82,99
ASML,2025-09-05,daily,95,86,82,73,31,39,35,78,78,14
AVGO,2025-09-05,daily,99,99,90,82,86,95,90,86,90,90
AZN,2025-09-05,daily,44,52,78,65,78,52,61,65,69,22
COST,2025-09-05,daily,69,69,69,44,27,18,14,39,73,35
CSCO,2025-09-05,daily,31,27,18,39,22,44,39,56,22,61
GOOG,2025-09-05,daily,73,90,95,90,90,78,95,95,95,69
GOOGL,2025-09-05,daily,78,95,99,95,95,82,99,99,99,73
ISRG,2025-09-05,daily,86,39,31,31,10,10,10,35,31,18
IWM,2025-09-05,daily,,,,,,,,,,
LULU,2025-09-05,daily,5,5,5,5,5,5,5,5,5,5
MAGS,2025-09-05,daily,,,,,,,,,,
META,2025-09-05,daily,61,56,44,35,48,56,52,31,44,65
MSFT,2025-09-05,daily,18,22,27,22,39,65,44,22,35,44
NFLX,2025-09-05,daily,39,61,56,52,18,69,22,48,61,86
NVDA,2025-09-05,daily,14,18,14,18,52,73,73,18,14,78
PDD,2025-09-05,daily,65,65,73,69,82,35,82,73,54,52
PLTR,2025-09-05,daily,27,14,22,14,73,99,65,14,18,95
QCOM,2025-09-05,daily,52,44,39,61,35,27,48,61,48,27
QQQ,2025-09-05,daily,,,,,,,,,,
SMH,2025-09-05,daily,,,,,,,,,,
SPY,2025-09-05,daily,,,,,,,,,,
TMUS,2025-09-05,daily,56,31,52,48,56,22,31,44,54,48
TSLA,2025-09-05,daily,90,82,65,78,65,61,27,82,39,82
XLB,2025-09-05,daily,,,,,,,,,,
XLC,2025-09-05,daily,,,,,,,,,,
XLE,2025-09-05,daily,,,,,,,,,,
XLF,2025-09-05,daily,,,,,,,,,,
XLI,2025-09-05,daily,,,,,,,,,,
XLK,2025-09-05,daily,,,,,,,,,,
XLP,2025-09-05,daily,,,,,,,,,,
XLRE,2025-09-05,daily,,,,,,,,,,
XLU,2025-09-05,daily,,,,,,,,,,
XLV,2025-09-05,daily,,,,,,,,,,
XLY,2025-09-05,daily,,,,,,,,,,
