ticker,model_type,current_price,data_points,above_sma_10,above_sma_20,above_sma_50,sma_10_slope,sma_20_slope,sma_50_slope,trend_score,predicted_price_5d,predicted_return_5d,prediction_confidence,sma_20,upper_band,lower_band,band_position,rsi,oversold_signal,overbought_signal,reversion_score,predicted_direction,reversion_target,potential_return,volatility_daily,volatility_annualized,current_vol_20d,avg_vol_50d,volatility_percentile,volatility_regime,vol_clustering_signal,var_95_1d,var_95_1w,downside_volatility,analysis_date,assets_analyzed,overlapping_periods,highest_correlation,highest_corr_pair,lowest_correlation,lowest_corr_pair,avg_correlation,diversification_ratio
^DJI,simple_trend,45400.859375,421.0,False,True,True,52.600937500000875,58.34011718749971,51.27294921875,83.33333333333333,45252.82242142845,-0.003260664128597243,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^DJI,mean_reversion,45400.859375,,,,,,,,,,,,45080.7666015625,46038.46039502859,44123.07280809641,0.6671164497574005,58.42204187110506,False,False,0.0,neutral,45080.7666015625,-0.007050368161395593,,,,,,,,,,,,,,,,,,,
^DJI,volatility,45400.859375,,,,,,,,,,,,,,,,,,,,,,,0.009363868786534623,0.14864680871166466,0.1022095401078584,0.14263488228703242,28.57142857142857,normal,0.7438906045317131,-0.013300511165904477,-0.029740847102457394,0.10864908862752831,,,,,,,,,
^IXIC,simple_trend,21700.390625,421.0,True,True,True,16.002460937499563,23.783505859375147,40.162890625,100.0,21776.48017073098,0.0035063675601914018,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^IXIC,mean_reversion,21700.390625,,,,,,,,,,,,21510.41953125,21882.591870896973,21138.24719160303,0.7552192539754538,51.84618967765977,False,False,0.0,neutral,21510.41953125,-0.00875427069645196,,,,,,,,,,,,,,,,,,,
^IXIC,volatility,21700.390625,,,,,,,,,,,,,,,,,,,,,,,0.014009329322814677,0.22239120853783528,0.13474189476989945,0.21302599959538246,21.428571428571427,normal,0.8920342206052936,-0.022361660923187098,-0.05000219391404706,0.1674933880369088,,,,,,,,,
^NYA,simple_trend,21136.0390625,421.0,True,True,True,27.49375,26.190351562499927,19.238750000000074,100.0,21184.247365999337,0.002280857986531318,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^NYA,mean_reversion,21136.0390625,,,,,,,,,,,,20927.3044921875,21343.981284988706,20510.627699386296,0.7504753971408311,65.37602248567619,False,False,0.0,neutral,20927.3044921875,-0.009875765733364905,,,,,,,,,,,,,,,,,,,
^NYA,volatility,21136.0390625,,,,,,,,,,,,,,,,,,,,,,,0.008760761726947092,0.13907278094996853,0.08661662468208232,0.13170263806351293,14.047619047619047,low,0.6799883018126005,-0.011595950620884948,-0.025929333852029637,0.10803652980444305,,,,,,,,,
^XAX,simple_trend,6664.080078125,421.0,True,True,True,45.63539062499986,23.995151367187464,16.19746044921876,100.0,6833.415608300387,0.02541018838162435,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^XAX,mean_reversion,6664.080078125,,,,,,,,,,,,6358.541015625,6790.972557265153,5926.109473984847,0.853280268757839,82.11551266624383,False,True,-17.88448733375617,down,6358.541015625,-0.045848648113179014,,,,,,,,,,,,,,,,,,,
^XAX,volatility,6664.080078125,,,,,,,,,,,,,,,,,,,,,,,0.012876721899203948,0.20441162308219785,0.1556449924871827,0.20377894792834653,26.904761904761905,normal,0.44821416710736667,-0.019380924066006174,-0.043337063678351426,0.15915720229737268,,,,,,,,,
^BUK100P,simple_trend,923.4199829101562,427.0,False,True,True,-0.6443994140624909,0.6536999511718704,0.916669982910156,83.33333333333333,926.8037697216587,0.00366440717563689,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^BUK100P,mean_reversion,923.4199829101562,,,,,,,,,,,,923.3399963378906,936.6832257142236,909.9967669615577,0.5029972718751091,56.453602071918105,False,False,0.0,neutral,923.3399963378906,-8.661992781822114e-05,,,,,,,,,,,,,,,,,,,
^BUK100P,volatility,923.4199829101562,,,,,,,,,,,,,,,,,,,,,,,0.007261497726284006,0.11527270277765071,0.06685051740527387,0.11106010576799931,5.164319248826291,low,0.7919866241824984,-0.009469839811295483,-0.02117520555409048,0.09544521877109476,,,,,,,,,
^RUT,simple_trend,2391.050048828125,421.0,True,True,True,8.764194335937555,7.0281005859375,4.118920654296858,100.0,2434.7093705826674,0.018259476323358545,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^RUT,mean_reversion,2391.050048828125,,,,,,,,,,,,2319.8545166015624,2426.338187698822,2213.370845504303,0.8343025812921795,70.32000007593513,False,True,-29.679999924064873,down,2319.8545166015624,-0.029775843571930305,,,,,,,,,,,,,,,,,,,
^RUT,volatility,2391.050048828125,,,,,,,,,,,,,,,,,,,,,,,0.014144565083423028,0.22453800968342946,0.2060262177989843,0.22016570108486772,57.38095238095238,normal,0.6304465456897675,-0.020557836262993127,-0.04596871935436288,0.14994314646561072,,,,,,,,,
^FTSE,simple_trend,9208.2001953125,426.0,False,True,True,-3.3400000000001455,4.752504882812536,7.801801757812518,83.33333333333333,9256.255868478118,0.005218791093408278,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^FTSE,mean_reversion,9208.2001953125,,,,,,,,,,,,9198.080078125,9324.495155416325,9071.665000833675,0.5400273345725133,56.739907187727354,False,False,0.0,neutral,9198.080078125,-0.0010990331414223453,,,,,,,,,,,,,,,,,,,
^FTSE,volatility,9208.2001953125,,,,,,,,,,,,,,,,,,,,,,,0.007041621537299808,0.11178227648598975,0.07072347120687056,0.10716304354149543,12.470588235294118,low,1.0487619740459768,-0.008762092524885178,-0.019592634510786026,0.0945036455161957,,,,,,,,,
^GDAXI,simple_trend,23596.98046875,428.0,False,False,False,-63.689374999999565,-4.618837890624855,6.324626953125152,-50.0,23128.815507984677,-0.01984003679561142,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^GDAXI,mean_reversion,23596.98046875,,,,,,,,,,,,24080.042578125,24644.357272306595,23515.727883943408,0.07199226393035034,31.527582865208075,False,False,0.0,neutral,24080.042578125,0.02047135268068434,,,,,,,,,,,,,,,,,,,
^GDAXI,volatility,23596.98046875,,,,,,,,,,,,,,,,,,,,,,,0.00983649540600422,0.15614952370029894,0.11174512691481214,0.15061758564744854,29.508196721311474,normal,1.5728244715454323,-0.013682927046599158,-0.03059595500736615,0.1139230145286448,,,,,,,,,
^FCHI,simple_trend,7674.77978515625,430.0,False,False,False,-25.771601562499928,0.20055175781253637,2.1055585937499925,-50.0,7631.966648051279,-0.005578418964903198,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^FCHI,mean_reversion,7674.77978515625,,,,,,,,,,,,7800.683984375,8023.3457693994915,7578.022199350509,0.21727479144007164,35.19239845243746,False,False,0.0,neutral,7800.683984375,0.016404926622423766,,,,,,,,,,,,,,,,,,,
^FCHI,volatility,7674.77978515625,,,,,,,,,,,,,,,,,,,,,,,0.009370710164840137,0.14875541222539249,0.1265873016845034,0.1448034672383611,44.988344988344984,normal,0.7102745049427291,-0.014099726534418688,-0.03152794699511772,0.11092730672290749,,,,,,,,,
