ticker,sector,current_price,market_cap,analyst_rating,14d_change,22d_change,44d_change,66d_change,price_vs_sma20,price_vs_sma50,price_position_52w,medium_term_score
GOOGL,Technology services,212.91,2509549439362.0,Strong buy,4.71,10.95,20.81,23.68,5.02,11.94,1.0,1.0
GOOG,Technology services,213.53,2509549439362.0,Strong buy,4.59,10.72,20.37,23.31,4.92,11.75,1.0,1.0
JPM,Finance,301.42,820993971036.0,Buy,2.93,1.75,4.47,14.95,2.74,3.59,1.0,1.0
GE,Electronic technology,275.2,290496752938.0,Buy,-1.58,1.52,7.08,13.1,1.36,4.51,0.96,1.0
CVX,Energy minerals,160.6,322177908642.0,Buy,5.15,7.09,13.41,19.39,3.92,6.39,0.88,1.0
ABBV,Health technology,210.4,368080073368.0,Buy,5.92,11.31,14.33,15.91,3.05,8.19,0.95,1.0
BAC,Finance,50.74,372199100098.0,Buy,6.82,7.34,7.23,15.84,6.07,6.73,1.0,1.0
JNJ,Health technology,177.17,425047739899.0,Buy,3.29,8.33,16.84,17.08,1.69,7.53,0.98,1.0
CSCO,Electronic technology,69.09,270824280706.0,Buy,-3.21,1.48,0.18,9.73,0.68,1.12,0.89,1.0
FE,Utilities,43.62,25169037426.0,Buy,0.02,3.19,9.47,7.0,0.34,4.9,0.95,1.0
XLF,Financial,53.99,,,2.92,3.09,3.09,7.09,2.44,2.91,1.0,1.0
XLB,,92.28,,,3.34,5.19,5.09,7.84,2.47,2.64,0.83,1.0
NTRS,Finance,131.28,25217933233.0,Neutral,3.06,0.98,3.54,23.84,2.61,3.4,0.98,1.0
APP,Technology services,478.59,158750832316.0,Buy,2.48,22.5,36.71,22.63,9.05,23.63,0.93,1.0
ANET,Electronic technology,136.55,168759316780.0,Strong buy,-3.33,10.82,33.47,47.16,1.63,15.75,0.94,1.0
AZN,Health technology,79.9,248036802996.161,Strong buy,6.05,10.08,15.13,14.32,2.84,8.76,0.75,1.0
C,Finance,96.57,176210742262.0,Buy,0.87,3.74,14.2,29.56,2.65,6.49,0.99,0.9
MA,Finance,595.29,534822428416.0,Buy,3.68,5.09,6.08,3.5,2.23,4.91,0.97,0.9
SPY,,645.05,,,0.37,2.05,4.4,10.08,0.76,2.44,0.97,0.9
XLY,,231.74,,,2.21,4.66,6.63,8.08,1.63,3.83,0.9,0.9
XLC,,111.39,,,1.03,3.71,2.64,9.69,1.32,3.12,0.99,0.9
VGT,,697.02,,,-1.28,0.95,5.09,14.96,0.17,2.26,0.95,0.9
AVGO,Electronic technology,297.39,1401681495683.0,Strong buy,-4.94,1.26,7.89,24.5,-1.17,3.53,0.91,0.8
XLE,Energy,90.39,,,6.77,3.65,6.58,11.6,4.67,4.38,0.76,0.8
XLRE,,42.31,,,2.99,2.17,2.15,3.35,1.62,1.35,0.76,0.8
XOM,Energy minerals,114.29,475309406762.0,Buy,8.69,3.33,7.01,12.97,5.57,4.46,0.71,0.8
QQQ,,570.4,,,-1.66,0.95,3.4,10.05,-0.26,1.56,0.94,0.7
QCOM,Electronic technology,160.73,171744428024.0,Buy,4.55,9.52,0.92,9.55,4.12,3.06,0.72,0.7
HD,Retail trade,406.77,405472956866.0,Buy,2.72,10.68,10.95,11.2,2.07,7.06,0.79,0.7
AAPL,Electronic technology,232.14,3403049714052.0,Buy,1.08,11.96,13.27,15.96,2.85,7.78,0.7,0.7
TMUS,Communications,251.99,282705235628.0,Buy,-0.11,5.7,5.76,4.72,0.73,4.81,0.75,0.7
PDD,Retail trade,120.22,172082571990.0,Buy,3.26,5.97,14.87,22.82,1.49,6.93,0.48,0.7
AMZN,Retail trade,229.0,2439172120138.0,Strong buy,3.4,-2.18,4.38,11.86,1.7,2.24,0.83,0.6
HPQ,Technology services,28.54,25369760925.0,Neutral,7.29,15.08,16.68,6.13,7.18,10.97,0.42,0.6
XLI,,152.01,,,0.07,0.0,3.04,6.92,0.29,1.08,0.92,0.6
XLV,,137.43,,,4.76,5.37,1.96,5.02,2.19,2.36,0.35,0.6
SPGI,Commercial services,548.44,168623291494.0,Strong buy,-1.73,-0.31,4.19,7.41,-1.26,2.03,0.88,0.5
XLK,Health,262.45,,,-2.15,-0.11,3.64,13.68,-0.51,1.22,0.93,0.4
PLTR,Technology services,156.71,381639044047.0,Neutral,-16.18,-1.04,14.96,26.62,-7.47,0.76,0.81,0.4
NVDA,Electronic technology,174.18,4435188104248.0,Strong buy,-4.9,-2.07,10.25,29.21,-3.07,2.15,0.9,0.4
META,Technology services,738.7,1894270786280.0,Strong buy,-6.49,-4.49,0.08,14.87,-3.13,0.49,0.83,0.4
XLU,,84.32,,,-2.27,-1.58,3.26,5.43,-1.72,0.41,0.8,0.35
GEV,Producer manufacturing,612.97,170387677716.0,Buy,-6.76,-7.17,15.89,26.44,-2.74,4.09,0.89,0.35
TSLA,Consumer durables,333.87,1134293684211.0,Neutral,-2.04,8.3,5.1,-6.45,0.39,3.11,0.47,0.3
BSX,Health technology,105.5,157643550427.0,Strong buy,2.79,0.55,-1.78,0.95,1.02,0.98,0.92,0.25
AMD,Electronic technology,162.63,270398217701.0,Buy,-7.04,-7.76,14.61,44.1,-4.82,2.19,0.79,0.25
UNH,Health services,309.87,272091526540.0,Buy,18.47,24.17,-0.67,4.68,9.9,7.56,0.19,0.05
ORCL,Technology services,226.13,657856797618.0,Buy,-10.92,-10.89,3.65,38.3,-7.1,-4.62,0.77,0.05
MSFT,Technology services,506.69,3731746975137.0,Strong buy,-4.26,-5.03,1.87,10.79,-1.79,-0.33,0.84,0.05
V,Finance,351.78,676583677317.0,Buy,4.47,2.01,-0.75,-2.04,2.49,1.24,0.8,0.05
VRSN,Technology services,273.37,25219384902.0,Neutral,4.23,1.97,-5.07,1.86,1.51,-1.6,0.75,0.0
XLP,,80.78,,,-2.24,1.25,-0.23,-0.55,-1.2,-0.65,0.69,-0.15
PG,Consumer non-durables,157.04,365339698509.0,Buy,1.26,4.37,-0.76,-5.52,1.07,0.58,0.25,-0.15
NFLX,Technology services,1208.25,520997910120.0,Buy,-1.39,4.21,-9.77,-0.02,-0.14,-1.76,0.81,-0.2
PM,Consumer non-durables,167.13,259452302369.0,Buy,-0.87,1.88,-8.24,-5.82,-0.35,-2.82,0.76,-0.25
WMT,Retail trade,96.98,766519170253.0,Strong buy,-6.19,-0.79,-0.59,-0.03,-2.87,-0.94,0.75,-0.35
ASML,Electronic technology,742.62,293673549180.826,Buy,0.11,6.9,-7.33,-0.52,0.65,-1.46,0.49,-0.35
KO,Consumer non-durables,68.99,295791080380.0,Buy,-2.43,1.62,-2.49,-2.35,-1.04,-1.05,0.67,-0.35
AMGN,Health technology,287.71,155898825241.0,Buy,0.96,-2.5,3.04,3.34,-1.08,-1.77,0.45,-0.4
LULU,Consumer non-durables,202.2,25308438499.0,Buy,4.8,0.83,-14.89,-35.96,1.99,-6.33,0.07,-0.4
LLY,Health technology,732.58,696620571821.0,Buy,14.82,-0.79,-5.82,2.06,4.55,-1.95,0.33,-0.5
COST,Retail trade,943.32,417462727620.0,Buy,-4.84,0.53,-4.58,-6.76,-2.43,-2.3,0.36,-0.55
ACN,Technology services,259.97,159089025566.0,Buy,9.29,-2.67,-12.59,-17.32,3.83,-4.48,0.14,-0.8
ISRG,Health technology,473.3,170011069085.0,Buy,-1.02,-1.62,-12.9,-14.32,-0.48,-5.3,0.14,-1.0
