Ticker,Date,MaxVolume,Original_Days,Analyzed_Days,Filter_Efficiency_Pct,Date_Range,Min_Price_Filter,Min_Volume_Filter,Std_Filter,Close,Filter_Reason,Filtered_Out
ADI,2025-04-09,10941600.0,421.0,8.0,1.9,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,195.7388153076172,,
TRI,2025-07-25,23377500.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,202.75003051757807,,
CDNS,2025-02-19,7638300.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,274.0400085449219,,
CCEP,2025-03-21,13187700.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,84.04962158203125,,
XEL,2024-12-20,13060700.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,65.74424743652344,,
NVDA,2025-01-27,818830900.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,118.40087890625,,
BKR,2025-07-23,21794200.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,44.44511032104492,,
ORLY,2025-04-04,16704000.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,92.65799713134766,,
MDLZ,2024-12-20,34652200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,58.106666564941406,,
AZN,2024-11-06,16622700.0,421.0,8.0,1.9,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,62.51606750488281,,
AVGO,2024-12-20,131910400.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,219.0201873779297,,
EXC,2025-04-08,22010000.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,43.70716857910156,,
CSCO,2024-12-20,69544600.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,57.39330291748047,,
FTNT,2025-08-07,47433000.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,75.30000305175781,,
SBUX,2024-08-13,157215500.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,92.95443725585938,,
WDAY,2024-12-20,46874100.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,273.0400085449219,,
SHOP,2025-05-16,96081400.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,110.75,,
DASH,2025-03-21,73637400.0,421.0,1.0,0.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,190.6199951171875,,
AMD,2025-08-06,133641800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,163.1199951171875,,
TSLA,2025-06-05,287499800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,284.70001220703125,,
CSX,2025-08-22,81210900.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,34.58000183105469,,
PANW,2025-07-30,42277200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,183.02999877929688,,
MNST,2024-08-08,27323100.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,45.0099983215332,,
CPRT,2025-05-23,20812400.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,53.66999816894531,,
DXCM,2024-07-26,53914100.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,64.0,,
KDP,2025-02-27,68945100.0,421.0,10.0,2.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,33.1519660949707,,
ON,2025-08-04,30528800.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,47.970001220703125,,
FAST,2025-07-14,18532700.0,421.0,10.0,2.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,44.858131408691406,,
TTD,2025-07-17,111506800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,81.44000244140625,,
ARM,2024-08-01,31205200.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,121.51000213623048,,
DDOG,2025-07-08,86386000.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,145.94000244140625,,
WBD,,,,,,,,,,,No stocks above $20.0,True
PLTR,2024-09-20,450290500.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,37.20000076293945,,
CSGP,2024-10-23,14631200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,72.81999969482422,,
GFS,2025-03-21,8360500.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,38.630001068115234,,
ZS,2024-09-04,10904800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,157.1300048828125,,
MCHP,2025-04-09,29897800.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,44.5551986694336,,
MRVL,2025-08-29,96617000.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,62.869998931884766,,
CRWD,2024-07-22,49567500.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,263.9100036621094,,
TEAM,2024-11-01,9591100.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,224.3500061035156,,
KHC,2025-07-11,52440900.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,27.13999938964844,,
INTC,2025-08-15,310161100.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,24.559999465942383,,
TTWO,2025-05-02,8968300,421,6,1.4,2024-07-06 to 2025-09-26,20.0,100000,3σ,219.5
QQQ,2025-04-07,161557000,421,5,1.2,2024-07-06 to 2025-09-26,20.0,100000,3σ,423.2146911621094
SPY,2025-04-07,256611400,421,6,1.4,2024-07-06 to 2025-09-26,20.0,100000,3σ,502.893310546875
IWM,2025-04-09,123015100,421,4,1.0,2024-07-06 to 2025-09-26,20.0,100000,3σ,189.156967163086
MAGS,2025-04-09,8761200,421,4,1.0,2024-07-06 to 2025-09-26,20.0,100000,3σ,46.41999816894531
XLK,2025-04-07,22278900,421,5,1.2,2024-07-06 to 2025-09-26,20.0,100000,3σ,183.1564483642578
XLC,2025-04-07,42518300,421,4,1.0,2024-07-06 to 2025-09-26,20.0,100000,3σ,117.03379821777344
XLY,2025-04-07,42518300,421,4,1.0,2024-07-06 to 2025-09-26,20.0,100000,3σ,117.03379821777344
XLP,2025-04-07,45133500,421,4,1.0,2024-07-06 to 2025-09-26,20.0,100000,3σ,77.02164459228516
XLE,2025-04-09,59481200,421,7,1.7,2024-07-06 to 2025-09-26,20.0,100000,3σ,81.69541931152344
XLF,2025-04-07,179993200,421,5,1.2,2024-07-06 to 2025-09-26,20.0,100000,3σ,43.939414978027344
XLV,2025-04-09,39444700,421,4,1.0,2024-07-06 to 2025-09-26,20.0,100000,3σ,138.10072326660156
XLI,2025-04-07,42518300,421,4,1.0,2024-07-06 to 2025-09-26,20.0,100000,3σ,117.03379821777344
XLB,2025-04-07,25121900,421,6,1.4,2024-07-06 to 2025-09-26,20.0,100000,3σ,76.24161529541016
XLRE,2025-04-09,27138900,421,5,1.2,2024-07-06 to 2025-09-26,20.0,100000,3σ,38.85848617553711
XLU,2025-04-07,36581300,421,4,1.0,2024-07-06 to 2025-09-26,20.0,100000,3σ,72.88395690917969
SMH,2025-04-07,25600300,421,9,2.1,2024-07-06 to 2025-09-26,20.0,100000,3σ,184.8999938964844
BKNG,2024-08-02,801500.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,3302.45751953125,,
MELI,2024-11-07,2966800.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,1774.050048828125,,
REGN,2025-05-30,6313100.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,489.5366516113281,,
CHTR,2025-07-25,9638100.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,309.75,,
KLAC,2025-04-09,3447900.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,700.0973510742188,,
META,2024-12-20,48989400.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,584.2802124023438,,
ASML,2025-07-16,10789600.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,754.4500122070312,,
NFLX,2024-10-18,15974100.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,763.8900146484375,,
COST,2024-07-11,6021100.0,421.0,9.0,2.1,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,841.0703125,,
ADBE,2024-12-12,17344900.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,474.6300048828125,,
LULU,2025-09-05,36736100.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,167.8000030517578,,
ROP,2024-07-24,2064400.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,528.8484497070312,,
LIN,2024-12-20,6680900.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,421.5548095703125,,
FANG,2024-10-08,10794600.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,188.781478881836,,
VRTX,2025-08-05,10729400.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,374.9800109863281,,
SNPS,2025-07-16,7936000.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,571.2000122070312,,
INTU,2025-08-22,6368800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,662.6599731445312,,
MSFT,2024-12-20,64263700.0,421.0,9.0,2.1,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,434.9278564453125,,
AMGN,2024-11-26,17010300.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,275.33270263671875,,
IDXX,2025-08-04,3331900.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,682.780029296875,,
MSTR,2024-11-21,100444000.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,397.2799987792969,,
TMUS,2025-04-25,13561400.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,231.9140167236328,,
BIIB,2024-12-20,5776200.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,146.47000122070312,,
QCOM,2024-09-20,27546400.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,166.14173889160156,,
ADP,2024-12-20,4165800.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,291.007568359375,,
CEG,2025-01-27,16083200.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,273.7817077636719,,
GOOGL,2025-05-07,127490100.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,151.19696044921875,,
GOOG,2025-05-07,78729800.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,152.61656188964844,,
PDD,2024-08-26,103174600.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,100.0,,
MAR,2025-06-27,4507300.0,421.0,9.0,2.1,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,273.4700012207031,,
HON,2025-02-06,12185300.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,206.56678771972656,,
NXPI,2025-04-09,8787100.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,185.0074615478516,,
AMAT,2025-08-15,31803300.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,161.75999450683594,,
CDW,2025-04-04,4384200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,143.99755859375,,
ISRG,2025-04-09,6038200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,522.9500122070312,,
AEP,2025-03-25,24651800.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,100.76301574707033,,
APP,2025-02-26,31783300.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,331.0,,
AAPL,2024-09-20,318679900.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,227.1428680419922,,
AMZN,2024-08-02,141448400.0,421.0,9.0,2.1,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,167.89999389648438,,
VRSK,2025-06-27,2480400.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,308.6600036621094,,
ROST,2025-05-23,18535000.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,136.86895751953125,,
CMCSA,2025-01-30,77358200.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,32.65187454223633,,
PCAR,2025-03-21,8554800.0,421.0,9.0,2.1,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,96.4598159790039,,
MU,2024-09-26,107965900.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,109.36852264404295,,
PEP,2025-06-27,26536500.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,131.0399932861328,,
TXN,2025-07-23,30755700.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,184.91346740722656,,
ODFL,2025-06-27,6623100.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,163.67999267578125,,
GILD,2025-03-21,26497500.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,106.32504272460938,,
CTSH,2025-06-20,11686500.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,75.13578033447266,,
GEHC,2025-04-04,16890600.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,60.45085144042969,,
PYPL,2025-02-04,58801900.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,77.7249984741211,,
ADSK,2025-02-28,5094000.0,421.0,8.0,1.9,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,274.2099914550781,,
PAYX,2025-06-25,9294200.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,136.90155029296875,,
CTAS,2024-12-19,6208800.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,181.74151611328125,,
LRCX,2025-04-09,29544700.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,70.9334945678711,,
ABNB,2024-08-07,29027900.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,113.01000213623048,,
AXON,2024-12-20,7032800.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,631.6900024414062,,
EA,2025-01-23,17146900.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,118.25582885742188,,
ADI,2025-04-09,10941600.0,421.0,8.0,1.9,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,195.7388153076172,,
TRI,2025-07-25,23377500.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,202.75003051757807,,
CDNS,2025-02-19,7638300.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,274.0400085449219,,
CCEP,2025-03-21,13187700.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,84.04962158203125,,
XEL,2024-12-20,13060700.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,65.74424743652344,,
NVDA,2025-01-27,818830900.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,118.40087890625,,
BKR,2025-07-23,21794200.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,44.44511032104492,,
ORLY,2025-04-04,16704000.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,92.65799713134766,,
MDLZ,2024-12-20,34652200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,58.106666564941406,,
AZN,2024-11-06,16622700.0,421.0,8.0,1.9,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,62.51606750488281,,
AVGO,2024-12-20,131910400.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,219.0201873779297,,
EXC,2025-04-08,22010000.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,43.70716857910156,,
CSCO,2024-12-20,69544600.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,57.39330291748047,,
FTNT,2025-08-07,47433000.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,75.30000305175781,,
SBUX,2024-08-13,157215500.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,92.95443725585938,,
WDAY,2024-12-20,46874100.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,273.0400085449219,,
SHOP,2025-05-16,96081400.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,110.75,,
DASH,2025-03-21,73637400.0,421.0,1.0,0.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,190.6199951171875,,
AMD,2025-08-06,133641800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,163.1199951171875,,
TSLA,2025-06-05,287499800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,284.70001220703125,,
CSX,2025-08-22,81210900.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,34.58000183105469,,
PANW,2025-07-30,42277200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,183.02999877929688,,
MNST,2024-08-08,27323100.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,45.0099983215332,,
CPRT,2025-05-23,20812400.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,53.66999816894531,,
DXCM,2024-07-26,53914100.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,64.0,,
KDP,2025-02-27,68945100.0,421.0,10.0,2.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,33.1519660949707,,
ON,2025-08-04,30528800.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,47.970001220703125,,
FAST,2025-07-14,18532700.0,421.0,10.0,2.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,44.858131408691406,,
TTD,2025-07-17,111506800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,81.44000244140625,,
ARM,2024-08-01,31205200.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,121.51000213623048,,
DDOG,2025-07-08,86386000.0,421.0,2.0,0.5,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,145.94000244140625,,
WBD,,,,,,,,,,,No stocks above $20.0,True
PLTR,2024-09-20,450290500.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,37.20000076293945,,
CSGP,2024-10-23,14631200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,72.81999969482422,,
GFS,2025-03-21,8360500.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,38.630001068115234,,
ZS,2024-09-04,10904800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,157.1300048828125,,
MCHP,2025-04-09,29897800.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,44.5551986694336,,
MRVL,2025-08-29,96617000.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,62.869998931884766,,
CRWD,2024-07-22,49567500.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,263.9100036621094,,
TEAM,2024-11-01,9591100.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,224.3500061035156,,
